Wavelength (nm) - Plot 0,Intensity (AU) - Plot 0
1,302.885
2,303.045
3,301.875
4,305.545
5,303.545
6,304.155
7,303.595
8,304.025
9,302.81
10,302.99
11,303.3
12,303.565
13,302.76
14,303.04
15,303.28
16,303.78
17,303.225
18,303.45
19,303.95
20,304.355
21,303.25
22,304.18
23,303.245
24,304.645
25,302.955
26,304.03
27,303.06
28,303.005
29,303.295
30,304.25
31,304.3
32,304.715
33,304.755
34,305.16
35,304.345
36,305.265
37,304.72
38,306.19
39,305.37
40,306.96
41,306.79
42,307.985
43,309.4
44,310.14
45,309.855
46,312.07
47,311.33
48,314.56
49,313.16
50,316.065
51,316.235
52,317.035
53,317.795
54,318.265
55,319.795
56,319.89
57,320.095
58,320.91
59,321.26
60,322.225
61,322.235
62,322.975
63,322.515
64,323.3
65,322.78
66,323.095
67,323.555
68,323.625
69,324.035
70,324.47
71,324.43
72,325.115
73,325.335
74,324.95
75,325.495
76,327.135
77,326.29
78,326.63
79,326.285
80,327.425
81,327.24
82,327.97
83,328.1
84,329.585
85,328.435
86,330.38
87,330.07
88,329.76
89,330.11
90,331.405
91,331.19
92,330.995
93,332.15
94,333.14
95,333.435
96,333.485
97,333.28
98,333.75
99,333.81
100,334.555
101,332.92
102,334.065
103,334.09
104,333.895
105,334.365
106,334.965
107,334.63
108,335.69
109,334.695
110,335.845
111,335.27
112,336.37
113,336.065
114,336.01
115,335.525
116,336.265
117,335.63
118,335.82
119,334.05
120,335.26
121,334.15
122,334.825
123,334.78
124,334.18
125,335.3
126,334.055
127,334.085
128,335.175
129,334.545
130,335.205
131,334.34
132,335.37
133,335.355
134,335.37
135,335.69
136,334.855
137,334.89
138,335.72
139,335.275
140,336.95
141,336.105
142,336.265
143,335.815
144,336.465
145,336.05
146,336.355
147,336.87
148,336.845
149,335.94
150,338.005
151,336.515
152,337.06
153,336.95
154,337.51
155,337.43
156,338.325
157,337.4
158,338.07
159,337.09
160,338.545
161,336.915
162,337.725
163,337.78
164,339.475
165,337.855
166,340.205
167,340.085
168,341.65
169,342.23
170,342.095
171,343.495
172,343.585
173,345.085
174,346.55
175,346.79
176,348.135
177,347.575
178,347.295
179,346.73
180,345.085
181,343.785
182,343.765
183,342.6
184,342.615
185,340.91
186,340.82
187,339.575
188,339.415
189,338.345
190,338.955
191,337.195
192,338.32
193,337.395
194,337.505
195,336.985
196,336.545
197,337.425
198,337.325
199,337.04
200,338.92
201,337.875
202,337.945
203,337.41
204,338.98
205,339.125
206,338.75
207,338.13
208,338.305
209,337.395
210,338.81
211,337.57
212,337.59
213,336.625
214,338.29
215,337.375
216,337.97
217,336.45
218,337.165
219,337
220,337.435
221,336.655
222,336.65
223,336.52
224,337.125
225,336.44
226,336.92
227,337.38
228,337.155
229,337.415
230,338.005
231,337.52
232,337.875
233,337.665
234,338.245
235,338.47
236,337.77
237,338.24
238,338.585
239,338.1
240,339.025
241,338.67
242,338.805
243,338.19
244,340.225
245,339.135
246,340.305
247,339.915
248,340.75
249,339.525
250,340
251,340.745
252,340.925
253,340.09
254,341.57
255,341.17
256,341.15
257,341.765
258,342.605
259,341.38
260,341.265
261,341.19
262,341.095
263,340.035
264,340.66
265,340.06
266,340.345
267,339.685
268,339.98
269,338.675
270,339.995
271,339.015
272,339.99
273,339.31
274,341.345
275,341
276,340.94
277,340.56
278,341.895
279,341.46
280,341.275
281,340.285
282,340.07
283,339.02
284,339.73
285,340.005
286,340.95
287,340.945
288,342.585
289,341.655
290,341.785
291,341.435
292,341.055
293,341.82
294,341.965
295,341.07
296,340.88
297,340.005
298,340.26
299,341.115
300,340.38
301,338.87
302,338.825
303,338.52
304,339.895
305,338.06
306,339.42
307,338.305
308,339.24
309,338.025
310,338.4
311,337.645
312,338.555
313,338.535
314,338.15
315,337.82
316,339.04
317,338.245
318,339.595
319,338.685
320,339.14
321,338.555
322,339.915
323,338.695
324,339.92
325,339.085
326,339.72
327,339.31
328,340.835
329,340.025
330,339.565
331,340.065
332,340.515
333,339.19
334,339.985
335,339.855
336,339.7
337,338.68
338,340.17
339,339.925
340,340.855
341,339.625
342,340.87
343,340.58
344,340.13
345,340.405
346,339.665
347,340.43
348,341.065
349,340.535
350,340.415
351,339.965
352,340.74
353,341.865
354,341.01
355,340.5
356,342.365
357,341.46
358,342.16
359,340.875
360,341.95
361,341
362,341.535
363,341.415
364,341.675
365,341.45
366,342.645
367,342.475
368,342.29
369,343.09
370,343.53
371,344.98
372,345.61
373,344.805
374,344.845
375,343.39
376,344.085
377,342.745
378,342.18
379,342.625
380,342.815
381,342.35
382,344.765
383,343.2
384,343.605
385,342.69
386,343.32
387,343.15
388,342.895
389,343.32
390,343.14
391,343.135
392,342.95
393,342.845
394,343.195
395,342.105
396,342.595
397,342.495
398,342.71
399,342.665
400,343.29
401,342.71
402,342.605
403,342.68
404,343.545
405,342.89
406,342.235
407,342.925
408,344.595
409,344.775
410,346.465
411,346.15
412,347.775
413,347.675
414,349.305
415,349.485
416,350.13
417,348.82
418,349.585
419,349.15
420,349.68
421,348.99
422,347.61
423,347.185
424,347.61
425,346.995
426,346.34
427,347.02
428,346.105
429,346.915
430,346.705
431,345.8
432,347.265
433,345.305
434,346.045
435,344.79
436,344.955
437,344.905
438,344.56
439,343.695
440,344.41
441,344.255
442,343.9
443,345.35
444,345.335
445,343.135
446,344.355
447,344.085
448,345.63
449,344.705
450,343.7
451,344.04
452,344.335
453,344.545
454,346.245
455,344.535
456,343.925
457,344
458,344.43
459,344.62
460,345.355
461,345.22
462,345.295
463,345.03
464,345.215
465,345.205
466,344.83
467,345.68
468,345.97
469,345.74
470,346.495
471,345.35
472,346.64
473,346.535
474,346.185
475,347.565
476,349.14
477,346.87
478,348.5
479,346.31
480,346.625
481,345.73
482,345.84
483,346.03
484,346.92
485,345.945
486,346.785
487,345.585
488,346.6
489,347.905
490,348.81
491,348.69
492,349.92
493,349.285
494,351.01
495,348.77
496,349.65
497,347.94
498,348.835
499,348.535
500,347.445
501,347.205
502,349.365
503,346.835
504,347.085
505,347.38
506,347.81
507,347.15
508,348.275
509,347.185
510,347.95
511,347.95
512,348.235
513,347.93
514,348.675
515,347.74
516,348.445
517,347.67
518,348.48
519,348.44
520,349.615
521,349.43
522,351.305
523,351.5
524,352.165
525,353.165
526,353.82
527,353.745
528,354.665
529,355.39
530,356.235
531,356.09
532,357.03
533,356.62
534,355.38
535,353.46
536,352.845
537,350.4
538,351.25
539,349.835
540,350.955
541,348.47
542,349.325
543,348.355
544,349.575
545,348.69
546,348.885
547,348.245
548,349.08
549,349.135
550,349.6
551,348.805
552,349.8
553,349.025
554,348.87
555,349.455
556,348.875
557,350.155
558,349.86
559,349.52
560,351.345
561,350.505
562,350.255
563,349.355
564,350.695
565,349.59
566,350.08
567,348.86
568,350.24
569,349.34
570,350.26
571,349.36
572,350.835
573,349.64
574,349.975
575,349.87
576,350.105
577,349.75
578,350.7
579,349.155
580,349.7
581,350.53
582,350.985
583,350.3
584,350.55
585,349.95
586,350.325
587,350.46
588,350.125
589,350.55
590,351.45
591,350.49
592,350.9
593,351.28
594,351.505
595,351.995
596,350.48
597,349.905
598,350.805
599,351.075
600,350.95
601,350.75
602,351.27
603,350.935
604,352.08
605,349.98
606,351.685
607,351.825
608,350.76
609,350.555
610,350.8
611,351.015
612,350.83
613,350.595
614,351.595
615,351.825
616,351.765
617,351.34
618,352.665
619,351.33
620,352.635
621,351.775
622,352.115
623,351.505
624,351.59
625,351.735
626,351.825
627,350.81
628,352.115
629,351.705
630,352.025
631,351.685
632,352.685
633,351.155
634,351.98
635,350.74
636,352.58
637,351.135
638,351.425
639,351.09
640,352.165
641,351.27
642,351.64
643,350.84
644,352.22
645,352.19
646,351.84
647,351.62
648,352.635
649,351.905
650,352.07
651,352.255
652,351.835
653,352.51
654,353.895
655,352.44
656,353.47
657,351.935
658,352.47
659,352.495
660,352.54
661,352.065
662,353.29
663,352.575
664,352.775
665,351.58
666,352.43
667,351.91
668,352.49
669,352.145
670,352.905
671,352.26
672,352.505
673,351.725
674,352.335
675,351.165
676,353.06
677,352.375
678,352.64
679,352.895
680,353.52
681,353.215
682,353.425
683,353.3
684,353.445
685,353.32
686,354.07
687,353.52
688,354.005
689,351.96
690,353.435
691,352.795
692,353.695
693,352.385
694,353.33
695,351.94
696,353.27
697,352.01
698,352.765
699,352.26
700,351.785
701,351.28
702,352.56
703,351.81
704,351.67
705,352.715
706,352.495
707,353.245
708,352.525
709,352.345
710,353.56
711,352.775
712,352.925
713,353.315
714,352.92
715,353.605
716,353.895
717,353.38
718,353.805
719,353.48
720,353.915
721,353.445
722,353.45
723,353.4
724,354.695
725,352.895
726,354.54
727,353.28
728,353.99
729,353.515
730,353.545
731,352.755
732,353.12
733,353.16
734,353.475
735,353.82
736,353.435
737,353.64
738,353.065
739,352.87
740,353.26
741,352.98
742,354.355
743,353.69
744,355.25
745,354.5
746,354.18
747,354.445
748,355.22
749,353.86
750,355.635
751,354.59
752,354.65
753,354.22
754,354.075
755,354.195
756,354.855
757,353.54
758,354.3
759,352.45
760,353.225
761,353.055
762,353.48
763,352.69
764,353.7
765,352.46
766,352.935
767,352.2
768,352.225
769,351.29
770,352.23
771,352.035
772,352.52
773,351.12
774,353.255
775,352.915
776,352.375
777,350.995
778,352.165
779,352.135
780,352.59
781,352.785
782,353.95
783,353.46
784,354.68
785,353.945
786,354.495
787,354.675
788,354.33
789,353.32
790,353.095
791,353.42
792,354.085
793,353.275
794,353.695
795,353.165
796,355.215
797,352.505
798,353.285
799,352.175
800,352.43
801,352.22
802,351.93
803,351.27
804,352.485
805,352.26
806,352.55
807,351.435
808,352.035
809,351.875
810,352.21
811,351.525
812,351.905
813,351.225
814,351.54
815,351.01
816,352.595
817,352.755
818,352.345
819,353.38
820,352.76
821,352.16
822,353.305
823,351.56
824,353.705
825,353.33
826,352.495
827,352.94
828,353.57
829,353.06
830,352.83
831,352.89
832,353.07
833,352.335
834,352.135
835,352.94
836,351.555
837,351.22
838,351.855
839,351.76
840,352
841,351.81
842,353.005
843,353.02
844,353.435
845,352.535
846,353.225
847,352.69
848,352.22
849,351.32
850,352.455
851,352.33
852,353.04
853,351.87
854,352.15
855,351.915
856,351.99
857,351.685
858,352.75
859,351.82
860,352.435
861,352.53
862,353.19
863,352.51
864,352.495
865,352.745
866,352.265
867,352.035
868,351.685
869,352.285
870,352.74
871,351.57
872,351.8
873,351.34
874,351.25
875,349.8
876,350.575
877,349.61
878,351.11
879,349.9
880,350.43
881,349.53
882,349.515
883,350.305
884,350.065
885,348.49
886,349.36
887,348.715
888,349.705
889,349.265
890,350.715
891,349.9
892,349.885
893,350.285
894,351.84
895,350.9
896,350.8
897,350.43
898,350.86
899,350.44
900,351.105
901,350.62
902,351.525
903,350.375
904,350.145
905,350.955
906,351.55
907,350.715
908,350.935
909,349.62
910,350.28
911,349.585
912,349.655
913,349.03
914,348.615
915,349.36
916,348.8
917,348.685
918,348.755
919,348.045
920,349.09
921,347.81
922,348.79
923,348.905
924,348.515
925,347.88
926,350.915
927,348.625
928,349.315
929,349.595
930,349.4
931,349.585
932,350.56
933,349.815
934,351.17
935,350.455
936,350.68
937,350.84
938,350.68
939,350.65
940,351.645
941,350.69
942,351.345
943,350.905
944,350.1
945,350.065
946,349.955
947,349.185
948,351.495
949,349.425
950,349.46
951,348.755
952,348.96
953,349.58
954,349.205
955,349.125
956,349.435
957,348.36
958,349.04
959,347.815
960,349.225
961,348.735
962,349.075
963,348.4
964,348.655
965,348.955
966,349.015
967,348.325
968,349.295
969,349.295
970,350.12
971,350.085
972,350.855
973,350.33
974,351.31
975,351.615
976,352.94
977,353.045
978,354.57
979,355.315
980,357.48
981,357.635
982,359.36
983,358.29
984,360.515
985,361.075
986,362.155
987,362.55
988,364.095
989,363.305
990,364.935
991,363.02
992,363.51
993,362.085
994,362.64
995,362.335
996,361.18
997,359.835
998,360.485
999,359.22
1000,358.595
1001,358.725
1002,357.83
1003,357.315
1004,358.22
1005,357.47
1006,358.255
1007,357.085
1008,357.185
1009,356.125
1010,356.245
1011,354.685
1012,356
1013,354.63
1014,355.26
1015,353.355
1016,353.205
1017,352.555
1018,352.395
1019,351.335
1020,352.08
1021,350.745
1022,351.315
1023,350.61
1024,350.985
1025,350.205
1026,350.56
1027,350.18
1028,350.43
1029,350.25
1030,349.58
1031,348.78
1032,348.515
1033,348.81
1034,348.65
1035,347.595
1036,347.985
1037,345.485
1038,347.06
1039,345.64
1040,346.055
1041,344.58
1042,345.195
1043,344.185
1044,344.375
1045,344.265
1046,344.815
1047,343.72
1048,344.025
1049,343.835
1050,344.745
1051,343.59
1052,344.645
1053,343.945
1054,344.955
1055,344.725
1056,344.96
1057,345.295
1058,345.035
1059,345.2
1060,345.85
1061,344.895
1062,345.75
1063,345.475
1064,346.095
1065,345.79
1066,345.475
1067,346.265
1068,346.485
1069,346.15
1070,345.82
1071,344.485
1072,345.56
1073,345.1
1074,343.775
1075,344
1076,345.345
1077,344.66
1078,344.16
1079,343.775
1080,344.805
1081,342.37
1082,342.235
1083,342.365
1084,343.745
1085,341.345
1086,342.93
1087,340.97
1088,342.31
1089,341.285
1090,341.63
1091,340.17
1092,341.035
1093,340.76
1094,341.335
1095,340.495
1096,340.92
1097,340.99
1098,341.34
1099,341.34
1100,341.94
1101,340.845
1102,342.06
1103,340.19
1104,342.155
1105,341.51
1106,342.265
1107,341.195
1108,341.585
1109,342.56
1110,342.29
1111,342.02
1112,342.12
1113,342.025
1114,342.53
1115,341.95
1116,342.715
1117,342.53
1118,343.115
1119,341.915
1120,342.42
1121,342.245
1122,342.65
1123,341.91
1124,341.445
1125,341.075
